Material	Texto breve material	Quantidade	Doc.material	Item doc.material	Tipo de movimento	Centro	Dep¢sito	Data do documento	Data de lanáamento	Unid.medida b†sica	Montante em MI	Texto cabeáalho documento	Pedido	UM pedido	Diagrama de rede
10001456	HASTE ATERR SP AC 1020 COBR 9/16POL 2,4M	-153	4926839372	15	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-12.022,28	0070	4200440229	PEÄ	
10001456	HASTE ATERR SP AC 1020 COBR 9/16POL 2,4M	-21	4926839372	13	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.650,12	0070	4200439144	PEÄ	
10001456	HASTE ATERR SP AC 1020 COBR 9/16POL 2,4M	-24	4926839372	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.885,85	0070	4200438923	PEÄ	
10001456	HASTE ATERR SP AC 1020 COBR 9/16POL 2,4M	-57	4926839372	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-4.478,89	0070	4200438923	PEÄ	
10001456	HASTE ATERR SP AC 1020 COBR 9/16POL 2,4M	-21	4926840010	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.650,11	0060	4200435717	PEÄ	
10001456	HASTE ATERR SP AC 1020 COBR 9/16POL 2,4M	-3	4926840010	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-235,73	0060	4200433889	PEÄ	
10001456	HASTE ATERR SP AC 1020 COBR 9/16POL 2,4M	-24	4926839372	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.885,85	0070	4200438923	PEÄ	
10001456	HASTE ATERR SP AC 1020 COBR 9/16POL 2,4M	-35	4926839372	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-2.750,19	0070	4200438923	PEÄ	
10001456	HASTE ATERR SP AC 1020 COBR 9/16POL 2,4M	-9	4926839372	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-707,19	0070	4200435718	PEÄ	
10001456	HASTE ATERR SP AC 1020 COBR 9/16POL 2,4M	-42	4926839372	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-3.300,23	0070	4200435718	PEÄ	
10001725	MAO FRANCESA FERR CANT TP 1 AC	-11	4926840223	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-397,11	0138	4200440473	PEÄ	
10001725	MAO FRANCESA FERR CANT TP 1 AC	-2	4926839373	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-72,20	0070	4200441146	PEÄ	
10001725	MAO FRANCESA FERR CANT TP 1 AC	-4	4926839373	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-144,40	0070	4200440814	PEÄ	
10001725	MAO FRANCESA FERR CANT TP 1 AC	-2	4926839373	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-72,20	0070	4200440229	PEÄ	
10001725	MAO FRANCESA FERR CANT TP 1 AC	-15	4926840223	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-541,52	0138	4200441147	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-31	4926840385	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.649,74	0216	4200439147	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-13	4926840010	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-691,83	0060	4200439137	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-29	4926839373	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.543,30	0070	4200438923	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-4	4926839373	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-212,87	0070	4200438923	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-9	4926840384	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-478,96	0216	4200438511	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-2	4926839373	17	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-106,43	0070	4200441146	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-1	4926839373	15	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-53,22	0070	4200441146	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-20	4926840010	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.064,35	0060	4200439137	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-10	4926840010	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-532,17	0060	4200439137	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-1	4926839373	13	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-53,22	0070	4200440814	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-21	4926839373	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.117,56	0070	4200439144	PEÄ	
10001726	MAO FRANCESA FERR CANT TP 2 AC	-3	4926840850	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-159,65	0060	4200438923	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-2	4926840384	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-361,39	0216	4200430674	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-1	4926840384	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-180,70	0216	4200433248	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-3	4926840384	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-542,09	0216	4200439147	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-1	4926840384	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-180,70	0216	4200440475	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-1	4926839368	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-180,70	0070	4200430667	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-3	4926839368	13	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-542,09	0070	4200438923	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-10	4926839825	19	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.806,97	0060	4200439137	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-13	4926839825	17	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-2.349,07	0060	4200438825	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-2	4926839825	15	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-361,39	0060	4200437425	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-5	4926839825	13	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-903,49	0060	4200437425	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-2	4926839825	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-361,39	0060	4200436006	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-3	4926839825	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-542,09	0060	4200436006	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-5	4926839825	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-903,49	0060	4200435717	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-1	4926839825	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-180,70	0060	4200435361	PEÄ	
10001728	AFASTADOR ARM SEC AC 1020 500MM	-3	4926839825	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-542,09	0060	4200433889	PEÄ	
10001730	SUP EQUIP I AC 1020 CIRC 225MM	-6	4926840385	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-710,22	0216	4200439147	PEÄ	
10001731	SUP EQUIP I AC 1020 CIRC 255MM	-10	4926840385	19	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.110,53	0216	4200440817	PEÄ	
10001731	SUP EQUIP I AC 1020 CIRC 255MM	-12	4926840385	17	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.332,64	0216	4200440475	PEÄ	
10001731	SUP EQUIP I AC 1020 CIRC 255MM	-2	4926840385	15	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-222,11	0216	4200440475	PEÄ	
10001731	SUP EQUIP I AC 1020 CIRC 255MM	-2	4926840385	13	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-222,11	0216	4200440140	PEÄ	
10001731	SUP EQUIP I AC 1020 CIRC 255MM	-72	4926840385	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-7.995,85	0216	4200439147	PEÄ	
10001731	SUP EQUIP I AC 1020 CIRC 255MM	-32	4926839371	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-3.553,71	0070	4200440229	PEÄ	
10001732	SUP EQUIP I AC 1020 CIRC 285MM	-12	4926840385	25	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.695,54	0216	4200439835	PEÄ	
10001732	SUP EQUIP I AC 1020 CIRC 285MM	-6	4926840385	23	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-847,77	0216	4200439835	PEÄ	
10001732	SUP EQUIP I AC 1020 CIRC 285MM	-15	4926840385	21	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-2.119,42	0216	4200439147	PEÄ	
