Material	Texto breve material	Quantidade	Montante em MI	Doc.material	Item doc.material	Centro	Depósito	Tipo de movimento	Data de lançamento	Pedido	Qtd.  UM registro	Item	Data de entrada	Data do documento	Txt.tipo movimento	Nº reserva	Diagrama de rede
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-5.260	-22,22	491337534	1	11	015	905	13/10/2022		-5.260	0	13/10/2022	13/10/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-9.750	-41,20	491336494	1	11	015	905	11/10/2022		-9.750	0	11/10/2022	11/10/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.582	0,00	500080158	1	11	015	101	10/10/2022	4500511078	2.582	1	10/10/2022	10/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	4.507,500	0,00	500080208	2	11	015	101	10/10/2022	4500479403	4.507,500	12	10/10/2022	10/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	349	0,00	500080207	5	11	015	101	10/10/2022	4500511150	349	5	10/10/2022	10/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	64	0,00	500080201	1	11	015	101	10/10/2022	4500511087	64	1	10/10/2022	10/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	100,500	0,00	500079341	2	11	015	101	07/10/2022	4500499321	100,500	8	07/10/2022	07/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-10.310	-43,56	491323664	1	11	015	905	07/10/2022		-10.310	0	07/10/2022	07/10/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	169,500	0,00	500078180	3	11	015	101	05/10/2022	4500510704	169,500	3	05/10/2022	05/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	14,420	0,00	500078125	2	11	015	101	04/10/2022	4500479403	14,420	12	04/10/2022	04/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.205	0,00	500078061	1	11	015	101	04/10/2022	4500505989	1.205	1	04/10/2022	04/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	34	0,00	500078091	1	11	015	101	04/10/2022	4500499321	34	8	04/10/2022	04/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	4.216	0,00	500078092	1	11	015	101	04/10/2022	4500505989	4.216	1	04/10/2022	04/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	601	0,00	500078069	1	11	015	101	04/10/2022	4500494589	601	3	04/10/2022	04/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	309	0,00	500078072	2	11	015	101	04/10/2022	4500510498	309	2	04/10/2022	04/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-9.860	-41,94	491290548	1	11	015	905	03/10/2022		-9.860	0	03/10/2022	03/10/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.113	0,00	500077715	2	11	015	101	29/09/2022	4500508394	1.113	36	29/09/2022	29/09/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.349	0,00	500077699	1	11	015	101	29/09/2022	4500510413	2.349	1	29/09/2022	29/09/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	318	0,00	500077690	2	11	015	101	29/09/2022	4500496448	318	11	29/09/2022	29/09/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.560,500	0,00	500077678	2	11	015	101	29/09/2022	4500509115	1.560,500	5	29/09/2022	29/09/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	35	0,00	500077718	2	11	015	101	29/09/2022	4500508252	35	90	29/09/2022	29/09/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	988,500	0,00	500077701	1	11	015	101	29/09/2022	4500510424	988,500	1	29/09/2022	29/09/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	117	0,00	500077700	1	11	015	101	29/09/2022	4500510424	117	1	29/09/2022	29/09/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	734,500	0,00	500077702	1	11	015	101	29/09/2022	4500510424	734,500	1	29/09/2022	29/09/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	8,645	0,00	500077695	2	11	015	101	29/09/2022	4500479403	8,645	12	29/09/2022	29/09/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	84,500	0,00	500077539	7	11	015	101	28/09/2022	4500476003	84,500	16	28/09/2022	28/09/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	99	0,00	500077537	3	11	015	101	28/09/2022	4500476007	99	11	28/09/2022	28/09/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	4.453,500	0,00	500077535	1	11	015	101	28/09/2022	4500490574	4.453,500	1	28/09/2022	28/09/2022	EM estoque trânsito	0	
