Material	Texto breve material	UMB
999674	SUCATA TRANSFORMADOR POT 4,5MVA EN COBRE	PC
999649	SUCATA TRANSFORMADOR POT 4,5MVA ENROL AL	PC
999673	SUCATA TRANSFORMADOR POT 40MVA EN COBRE	PC
999648	SUCATA TRANSFORMADOR POT 40MVA ENROL AL	PC
999677	SUCATA TRANSFORMADOR POT 45MVA EN COBRE	PC
999652	SUCATA TRANSFORMADOR POT 45MVA ENROL AL	PC
999675	SUCATA TRANSFORMADOR POT 8,3MVA EN COBRE	PC
999650	SUCATA TRANSFORMADOR POT 8,3MVA ENROL AL	PC
999624	SUCATA TRANSFORMADOR POTENCIA  3,25/5MVA	PC
999604	SUCATA TRANSFORMADOR POTÊNCIA 100a150kVA	PC
999612	SUCATA TRANSFORMADOR POTENCIA 15/20MVA	PC
999614	SUCATA TRANSFORMADOR POTENCIA 19/26MVA	PC
999615	SUCATA TRANSFORMADOR POTENCIA 20MVA	PC
999685	SUCATA TRANSFORMADOR POTÊNCIA 225kVA	PC
999613	SUCATA TRANSFORMADOR POTENCIA 30/40MVA	PC
999605	SUCATA TRANSFORMADOR POTÊNCIA 300a500kVA	PC
999617	SUCATA TRANSFORMADOR POTENCIA 4,5MVA	PC
999616	SUCATA TRANSFORMADOR POTENCIA 40MVA	PC
999625	SUCATA TRANSFORMADOR POTENCIA 45/60MVA	PC
999603	SUCATA TRANSFORMADOR POTÊNCIA 45a75kVA	PC
999623	SUCATA TRANSFORMADOR POTENCIA 7,5/10MVA	PC
999602	SUCATA TRANSFORMADOR POTÊNCIA ATÉ 30kVA	PC
999606	SUCATA TRANSFORMADOR POTÊNCIA DE 1000kVA	PC
999619	SUCATA TRANSFORMADOR POTENCIA DE 13,9MVA	PC
999610	SUCATA TRANSFORMADOR POTENCIA DE 16,6MVA	PC
999607	SUCATA TRANSFORMADOR POTÊNCIA DE 2000kVA	PC
999609	SUCATA TRANSFORMADOR POTÊNCIA DE 3000kVA	PC
999620	SUCATA TRANSFORMADOR POTENCIA DE 45 MVA	PC
999611	SUCATA TRANSFORMADOR POTENCIA DE 5,0MVA	PC
999618	SUCATA TRANSFORMADOR POTENCIA DE 8,3MVA	PC
999946	SUCATA VIDRO	KG
999820	SUCATAS E/OU FRAGMENTOS DE LAMPADAS	PC
