DATA	Preço
8048	0,00
8049	0,00
8050	0,00
8051	5,30
8052	3930,00
8053	134,98
8054	15,67
8055	0,00
8056	6000,00
8057	1,07
8058	63,45
8059	0,00
8060	0,00
8061	0,00
8062	1349,00
8063	0,00
8064	0,00
8065	0,00
8066	0,00
8067	0,00
8068	0,00
8069	0,00
8070	0,00
8071	0,00
8072	0,00
8073	0,00
8074	0,00
8075	8990,00
8076	0,00
8077	0,73
8078	0,00
8079	0,00
8080	223,27
8081	0,00
8082	0,00
8083	8837,16
8084	195,50
8085	3690,00
8086	9500,00
8087	39900,00
8088	580,00
8089	1,20
8090	1,99
8091	1,20
8092	4,00
8093	2,20
8094	2,90
8095	6,00
8096	12,50
8097	11,00
8098	23,50
8099	0,00
8100	159,00
8101	13,44
8102	414,00
8103	9,52
8104	81,78
8105	596,40
8106	89,84
8107	121,58
8108	2,00
8109	15,12
8110	21,14
8111	49,26
8112	260,00
8113	25,86
8114	54,20
8115	21,00
8116	0,00
8117	0,00
8118	0,00
8119	0,00
8120	0,00
8121	150,00
8122	0,00
8123	0,00
8124	5,96
8125	12,40
8126	9,45
8127	6,47
8128	12,63
8129	3,25
8130	3,60
8131	1,53
8132	6,90
8133	0,47
8134	0,76
8135	7,36
8136	0,23
8137	0,17
8138	0,27
8139	0,69
8140	0,55
8141	1,09
8142	0,13
8143	374,22
8144	12,52
8145	0,58
8146	17,76
8147	230,00
8148	89,90
8149	21,70
8150	64,90
8151	35,51
8152	50,04
8153	63,45
8154	0,00
8155	0,00
8156	1268,81
8157	230,68
8158	411,72
8159	65,39
8160	340,50
8161	29,00
8162	0,00
8163	328,00
8164	664,42
8165	0,00
8166	0,00
8167	0,00
8168	0,00
8169	38,90
8170	17,58
8171	34,18
8172	39,90
8173	149,00
8174	12,90
8175	24,05
8176	7,50
8177	22,99
8178	0,00
8179	0,00
8180	225,00
8181	225,00
8182	399,00
8183	0,00
8184	0,00
8185	0,00
8186	0,00
8187	0,00
8188	0,00
8189	0,00
8190	219,00
8191	512,00
8192	26,89
8193	259,00
8194	0,00
8195	0,00
8196	0,00
8197	29,90
8198	2478,00
8199	2,00
8200	15,00
8201	5,11
8202	5,11
