COD. CLIENTE;FORNECEDOR;DATA;CÓDIGO SAP;NUM. COLETA;NUM. SÉRIE;STATUS
25847;3C;;999959;9741218;9741218;NÃO EXPORTADO
25853;3C;;999959;8222162;8222162;NÃO EXPORTADO
25858;3C;;999959;6955218;6955218;NÃO EXPORTADO
25859;3C;;999958;5695087;5695087;NÃO EXPORTADO
25860;3C;;999958;60196726;6019672;NÃO EXPORTADO
25861;3C;;999958;61007412;6100741;NÃO EXPORTADO
25862;3C;;999958;5488222;5488222;NÃO EXPORTADO
25863;3C;;999958;2543712;2543712;NÃO EXPORTADO
25864;3C;;999958;44659814;4465981;NÃO EXPORTADO
25865;3C;;999958;17996660;1799666;NÃO EXPORTADO
25866;3C;;999959;8909090;8909090;NÃO EXPORTADO
25867;3C;;999959;7725797;7725797;NÃO EXPORTADO
25868;3C;;999959;9852702;9852702;NÃO EXPORTADO
25887;3C;;999959;6667334;6667334;NÃO EXPORTADO
26584;3C;;999959;8863559;8863559;NÃO EXPORTADO
26623;3C;;999959;7128569;7128569;NÃO EXPORTADO
26624;3C;;999959;7128682;7128682;NÃO EXPORTADO
26625;3C;;999959;7098448;7098448;NÃO EXPORTADO
26626;3C;;999959;7394376;7394376;NÃO EXPORTADO
26627;3C;;999959;7128570;7128570;NÃO EXPORTADO
26628;3C;;999959;9599284;9599284;NÃO EXPORTADO
26640;3C;;999959;9120862;9120862;NÃO EXPORTADO
26654;3C;;999959;91157129;9115712;NÃO EXPORTADO
26655;3C;;999959;85243817;8524381;NÃO EXPORTADO
26656;3C;;999959;82032785;8203278;NÃO EXPORTADO
26657;3C;;999959;73270504;7327050;NÃO EXPORTADO
26658;3C;;999959;85286907;8528690;NÃO EXPORTADO
26659;3C;;999959;9261283;9261283;NÃO EXPORTADO
26597;3C;;999958;18974244;1897424;NÃO EXPORTADO
26596;3C;;999958;2107258;2107258;NÃO EXPORTADO
26595;3C;;999958;16301650;1630165;NÃO EXPORTADO
26146;3C;;999958;5676027;5676027;NÃO EXPORTADO
26583;3C;;999959;9380137;9380137;NÃO EXPORTADO
26845;3C;;999959;215289;215289;NÃO EXPORTADO
26585;3C;;999958;6045916;6045916;NÃO EXPORTADO
26586;3C;;999958;5345257;5345257;NÃO EXPORTADO
26587;3C;;999958;4622055;4622055;NÃO EXPORTADO
26588;3C;;999958;785470;785470;NÃO EXPORTADO
26589;3C;;999959;74209396;7420939;NÃO EXPORTADO
26590;3C;;999959;91044367;9104436;NÃO EXPORTADO
26591;3C;;999959;94436436;9443643;NÃO EXPORTADO
26592;3C;;999959;84338474;8433847;NÃO EXPORTADO
26593;3C;;999959;84331054;8433105;NÃO EXPORTADO
26594;3C;;999958;52354351;5235435;NÃO EXPORTADO
26660;3C;;999959;7401850;7401850;NÃO EXPORTADO
26663;3C;;999959;64601778;6460177;NÃO EXPORTADO
26666;3C;;999959;65273266;6527326;NÃO EXPORTADO
26823;3C;;999959;84338237;8433823;NÃO EXPORTADO
26826;3C;;999959;84338296;8433829;NÃO EXPORTADO
